Contact,Fonction,Sigle structure
Lucas Leverne,INGE,BIAM
Nicolas Vuichard,DIR,LSCE
Solan Levy,INGE,BIAM
Xenie Johnson,DIR,BIAM
Bernard Genty,CR,BIAM
Stefania Viola,CR,BIAM
Fabienne Maignan,DIR,LSCE
Nicolas Viovy,DIR,LSCE
Mathieu Marguerie,INGE,ARVALIS
Anne Marmagne,INGE,IJPB
Léo Tuffery,DOC,LSCE
Clara Gilloteau,DOC,IJPB
Maëva Guyomard,TECH,PjSE
Pierre Rochepeau,INGE,ARVALIS
Céline Masclaux-Daubresse,DIR,IJPB
Noémie Lourenco,INGE,BIAM
Antoine Fournier,INGE,ARVALIS
Benjamin Gac,DOC,ARVALIS
